ABB_NAME,Offence Count,Rate
 Hepburn,849,5432.20
 Hindmarsh,411,7187.80
 Horsham,"2,578",12964.50
 Loddon,411,5474.90
 Macedon Ranges,"2,222",4588.80
 Mildura,"6,763",12264.70
 Moorabool,"2,513",7514.50
 Mount Alexander,"1,117",5788.50
 Moyne,705,4198.20
 Northern Grampians,"1,252",10870.90
 Pyrenees,543,7379.70
 Queenscliffe,151,5103.10
 Southern Grampians,"1,330",8249.10
 Surf Coast,"1,316",4198.20
 Swan Hill,"2,288",10975.20
 Warrnambool,"3,458",10003.20
 West Wimmera,198,5084.70
 Yarriambiack,454,6792.30
Total,"86,260",8788.20
 Justice Institutions and Immigration Facilities,"2,055",
Total,"2,055",
 Unincorporated Vic,138,
Total,138,
 Banyule,"10,015",7858.20
 Brimbank,"19,606",9601.80
 Darebin,"16,580",10688.10
 Hobsons Bay,"6,998",7488.90
 Hume,"22,609",10920.10
 Maribyrnong,"9,304",10701.40
 Melbourne,"36,161",24751.50
 Melton,"12,179",8611.90
 Moonee Valley,"9,285",7556.70
 Moreland,"14,740",8555.10
 Nillumbik,"3,463",5396.30
 Whittlesea,"15,500",7485.80
 Wyndham,"15,712",6921.30
 Yarra,"13,836",14894.40
Total,"205,988",10058.00
 Alpine,425,3378.90
 Bass Coast,"3,032",9060.50
 Baw Baw,"4,135",8388.10
 Benalla,"1,519",10864.00
 Boroondara,"8,064",4548.80
 East Gippsland,"4,305",9440.80
 Greater Shepparton,"8,044",12361.70
 Indigo,464,2870.40
 Knox,"10,668",6652.80
 Latrobe,"14,090",18881.80
 Manningham,"4,492",3664.80
 Mansfield,563,6490.70
 Maroondah,"8,566",7461.70
 Mitchell,"4,383",10486.90
 Moira,"1,723",5843.50
 Monash,"12,230",6349.10
 Murrindindi,735,5230.60
 South Gippsland,"1,367",4694.00
 Strathbogie,586,5658.00
 Towong,257,4250.70
 Wangaratta,"2,553",8929.10
 Wellington,"4,636",10650.10
 Whitehorse,"8,217",4843.80
 Wodonga,"3,460",8628.40
 Yarra Ranges,"8,836",5692.30
Total,"117,350",7090.50
 Bayside,"5,075",4931.40
 Cardinia,"7,662",7852.60
 Casey,"22,770",7279.70
 Frankston,"16,068",11518.10
 Glen Eira,"6,863",4619.00
 Greater Dandenong,"20,635",12879.00
 Kingston,"11,299",7108.90
 Mornington Peninsula,"11,633",7201.80
 Port Phillip,"12,881",11858.00
 Stonnington,"10,732",9668.20
Total,"125,618",8365.20
 Ararat,"1,223",10412.90
 Ballarat,"11,616",11223.20
 Buloke,253,4026.10
 Campaspe,"3,557",9461.40
 Central Goldfields,"1,579",12065.40
 Colac-Otway,"1,862",8716.40
 Corangamite,810,4986.80
 Gannawarra,559,5290.10
 Glenelg,"1,592",8057.10
 Golden Plains,832,3779.10
 Greater Bendigo,"9,590",8542.10
 Greater Geelong,"23,205",9687.80
 Hepburn,847,5455.70
 Hindmarsh,300,5186.70
 Horsham,"2,893",14549.40
 Loddon,496,6562.60
 Macedon Ranges,"2,391",5035.80
 Mildura,"6,303",11531.70
 Moorabool,"2,321",7103.90
 Mount Alexander,"1,222",6398.90
 Moyne,586,3501.20
 Northern Grampians,"1,173",10138.30
 Pyrenees,579,7914.20
 Queenscliffe,154,5257.80
 Southern Grampians,"1,222",7579.20
 Surf Coast,"1,543",5064.80
 Swan Hill,"2,262",10825.00
 Warrnambool,"3,029",8845.90
 West Wimmera,202,5130.80
 Yarriambiack,500,7415.10
Total,"84,701",8754.00
 Justice Institutions and Immigration Facilities,"1,637",
Total,"1,637",
 Unincorporated Vic,128,
Total,128,
 Banyule,"8,951",7099.00
 Brimbank,"18,151",9036.60
 Darebin,"14,396",9472.70
 Hobsons Bay,"6,774",7389.20
 Hume,"18,937",9555.60
 Maribyrnong,"7,908",9327.30
 Melbourne,"34,524",25223.60
 Melton,"10,151",7524.00
 Moonee Valley,"9,034",7513.90
 Moreland,"12,926",7700.00
 Nillumbik,"2,240",3517.90
 Whittlesea,"12,993",6600.60
 Wyndham,"12,946",6054.80
 Yarra,"12,668",14087.60
Total,"182,599",9232.90
 Alpine,444,3572.30
 Bass Coast,"2,602",7987.50
 Baw Baw,"3,584",7492.10
 Benalla,"1,083",7778.50
 Boroondara,"6,583",3767.00
 East Gippsland,"4,123",9189.20
 Greater Shepparton,"7,360",11412.80
 Indigo,471,2958.20
 Knox,"9,753",6145.60
 Latrobe,"12,909",17382.10
 Manningham,"4,325",3580.70
 Mansfield,435,5099.60
 Maroondah,"7,810",6910.10
 Mitchell,"3,684",9149.60
 Moira,"1,480",5053.30
 Monash,"9,411",4974.80
 Murrindindi,641,4628.80
 South Gippsland,"1,231",4277.10
 Strathbogie,494,4855.00
 Towong,170,2831.00
 Wangaratta,"2,450",8705.50
 Wellington,"4,194",9714.60
 Whitehorse,"7,501",4500.30
 Wodonga,"3,278",8357.30
 Yarra Ranges,"7,071",4609.80
Total,"103,087",6323.40
 Bayside,"4,286",4232.30
 Cardinia,"6,333",6861.50
 Casey,"19,448",6492.90
 Frankston,"14,513",10532.70
 Glen Eira,"5,789",3967.10
 Greater Dandenong,"17,310",11091.80
 Kingston,"10,235",6550.70
 Mornington Peninsula,"10,535",6632.80
 Port Phillip,"11,984",11265.20
 Stonnington,"9,797",9068.90
Total,"110,230",7537.90
 Ararat,"1,138",9773.30
 Ballarat,"11,021",10860.40
 Buloke,230,3647.30
 Campaspe,"3,006",8031.20
 Central Goldfields,"1,078",8324.30
 Colac-Otway,"1,349",6354.20
 Corangamite,638,3920.40
 Gannawarra,531,5039.90
 Glenelg,"1,799",9121.80
 Golden Plains,656,3067.10
 Greater Bendigo,"8,474",7710.10
 Greater Geelong,"19,158",8224.90
 Hepburn,743,4845.40
 Hindmarsh,197,3391.90
 Horsham,"2,829",14293.70
 Loddon,337,4474.80
 Macedon Ranges,"2,146",4627.70
 Mildura,"5,911",10914.80
 Moorabool,"2,041",6428.80
 Mount Alexander,955,5081.40
 Moyne,617,3718.90
 Northern Grampians,"1,099",9438.30
 Pyrenees,500,6964.80
 Queenscliffe,150,5114.20
 Southern Grampians,"1,038",6422.50
 Surf Coast,"1,376",4644.70
 Swan Hill,"2,223",10639.90
 Warrnambool,"2,978",8757.50
